"","SampleNumber","Well_Type","Parcel_ID","Site_Address","SampleID","Field.Duplicate..Y.N.","PFBA","PFPeA","PFHxA","PFHpA","PFOA","PFNA","PFDA","PFUnA","PFDoA","PFTriA","PFTeA","PFHxDA","PFODA","PFBS","PFPeS","PFHxS","PFHpS","PFOS","PFNS","PFDS","PFDoS","X4.2.FTSA","X6.2.FTSA","X8.2.FTSA","X10.2.FTSA","FOSA","NMeFOSA","NEtFOSA","NMeFOSAA","NEtFOSAA","NMeFOSE","NEtFOSE","HFPO.DA","DONA","X9Cl.PF3ONS","X11Cl.PF3OUdS","SUM_PFOS_PFOA","SUM_FOSA_NEtFOSE_NEtFOSA_NetFOSAA_PFOS_PFOA","Exceedance_RES","Exceedance_PAL","HI","No_Detections","X","Latitude","Longitude"
"467","408-0","OS Group Sample","4-00408-000","2642 MUTH ROAD","","",97,7,3.9,0.97,32,-999,-999,-999,-999,-999,-999,-999,-999,3.8,2.3,5.8,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,47,47,"Y","",2.5,"N",NA,43.8682155,-91.2651477
"468","412-0","OS Group Sample","4-00412-000","504 DAUPHIN STREET","","",50,6.7,4.9,1.4,18,-999,-999,-999,-999,-999,-999,-999,-999,2.9,0.97,4.7,-999,5.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,23.9,23.9,"Y","",1.3,"N",NA,43.8681817,-91.26652
"469","415-0","OS Group Sample","4-00415-000","2618 LAKESHORE DRIVE","","",52,-999,1.4,-999,29,-999,-999,-999,-999,-999,-999,-999,-999,12,1.5,4.6,-999,17,-999,-999,-999,-999,-999,-999,-999,1.2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,46,47.2,"Y","",2.5,"N",NA,43.8673658,-91.2694527
"470","425-0","OS Group Sample","4-00425-000","2607 HIBBARD COURT","","",35,2.1,2.6,-999,6.8,-999,-999,-999,-999,-999,-999,-999,-999,3.8,-999,2.3,-999,4.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,11.3,11.3,"N","",0.6,"N",NA,43.8659929,-91.2687759
"471","427-0","OS Group Sample","4-00427-000","2609 HIBBARD COURT","","",25,1.8,2,0.95,12,-999,-999,-999,-999,-999,-999,-999,-999,3.7,-999,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,12,12,"N","",0.7,"N",NA,43.8665525,-91.2687759
"472","431-0","OS Group Sample","4-00431-000","701 DAUPHIN STREET","","",21,8.4,8.9,5.1,22,-999,-999,-999,-999,-999,-999,-999,-999,11,1.2,13,-999,4.9,-999,-999,-999,-999,-999,-999,-999,1.4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26.9,28.3,"Y","",1.7,"N",NA,43.8676525,-91.2688323
"473","434-0","OS Group Sample","4-00434-000","2616 HIBBARD COURT","","",32,4.5,3.1,1,17,-999,-999,-999,-999,-999,-999,-999,-999,3.8,1,3.5,-999,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,22,22,"Y","",1.2,"N",NA,43.867063,-91.2681555
"474","437-0","OS Group Sample","4-00437-000","2608 HIBBARD COURT","","",59,7.6,6.4,3.5,24,-999,-999,-999,-999,-999,-999,-999,-999,3.7,1.4,5.7,-999,8.7,-999,-999,-999,-999,25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,32.7,32.7,"Y","",1.8,"N",NA,43.8662423,-91.2681555
"475","439-1","OS Group Sample","4-00439-001","2602 HIBBARD COURT","","",140,5.2,3.4,-999,50,-999,-999,-999,-999,-999,-999,-999,-999,4.2,2.6,6.5,-999,5.3,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,55.3,56.3,"Y","",3,"N",NA,43.8656634,-91.2682119
"476","440-0","OS Group Sample","4-00440-000","601 DAUPHIN STREET","","",8.8,1.5,1.8,-999,3,-999,-999,-999,-999,-999,-999,-999,-999,2.3,-999,1.8,-999,3.7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6.7,6.7,"N","",0.4,"N",NA,43.867592,-91.2675539
